Area Name,Total - Persons,Total - Males,Total - Females,Illiterate - Persons,Illiterate - Males,Illiterate - Females,Literate - Persons,Literate - Males,Literate - Females,Literate w/o education level - Persons,Literate w/o education level - Males,Literate w/o education level - Females,Bellow primary - Persons,Bellow primary - Males,Bellow primary - Females,Primary - Persons,Primary - Males,Primary - Females,Middle - Persons,Middle - Males,Middle - Females,Matric/Secondary - Persons,Matric/Secondary - Males,Matric/Secondary - Females,Higher second/Interm/Pre-University/Senior second - Persons,Higher second/Interm/Pre-University/Senior second - Males,Higher second/Interm/Pre-University/Senior second - Females,Non-technical diploma - Persons,Non-technical diploma - Males,Non-technical diploma - Females,Technical diploma - Persons,Technical diploma - Males,Technical diploma - Females,Graduate_Persons,Graduate_Males,Graduate_Females,Unclassified_Persons,Unclassified_Males,Unclassified_Females,age_group
Jammu and Kashmir,281221,143852,137369,78416,28416,50000,202805,115436,87369,5411,2819,2592,6992,4079,2913,33962,19612,14350,86308,49538,36770,70117,39379,30738,0,0,0,0,0,0,0,0,0,0,0,0,15,9,6,adolescencia
Jammu and Kashmir,160447,82204,78243,41336,14561,26775,119111,67643,51468,2858,1441,1417,3677,2218,1459,16279,9271,7008,40020,23121,16899,56267,31584,24683,0,0,0,0,0,0,0,0,0,0,0,0,10,8,2,adolescencia
Jammu and Kashmir,316768,164487,152281,103818,38842,64976,212950,125645,87305,7075,3643,3432,6925,4292,2633,27207,16332,10875,63984,38570,25414,63834,37553,26281,43741,25132,18609,29,20,9,141,95,46,0,0,0,14,8,6,adolescencia
Jammu and Kashmir,122945,65038,57907,34184,12302,21882,88761,52736,36025,2432,1280,1152,3035,1896,1139,9695,5718,3977,23866,14638,9228,23598,14190,9408,25981,14908,11073,24,22,2,116,75,41,0,0,0,14,9,5,adolescencia
Jammu and Kashmir,889969,476469,413500,313245,112313,200932,576724,364156,212568,22377,11850,10527,15955,10638,5317,64530,39699,24831,148278,96738,51540,147902,97518,50384,117929,72817,45112,175,123,52,1455,1026,429,58023,33688,24335,100,59,41,juventud
Jammu and Kashmir,789383,422668,366715,325293,111905,213388,464090,310763,153327,22891,12075,10816,12696,8282,4414,56943,34695,22248,117074,80718,36356,126745,90508,36237,55323,38220,17103,169,124,45,1556,1246,310,70607,44825,25782,86,70,16,juventud
Jammu and Kashmir,697138,378777,318361,321620,114261,207359,375518,264516,111002,21621,11535,10086,10632,7054,3578,48452,29452,19000,90527,65683,24844,114005,87108,26897,35367,26455,8912,118,90,28,985,869,116,53738,36214,17524,73,56,17,adulto
Jammu and Kashmir,690105,362578,327527,361206,128631,232575,328899,233947,94952,23291,12454,10837,10678,7498,3180,49885,31598,18287,83581,63354,20227,91676,68876,22800,22368,16932,5436,109,91,18,1099,1007,92,46144,32083,14061,68,54,14,adulto
Jammu and Kashmir,538689,302759,235930,300971,125378,175593,237718,177381,60337,19054,10882,8172,8155,6122,2033,36547,25072,11475,59577,47465,12112,66583,51652,14931,13405,10505,2900,101,90,11,685,636,49,33552,24900,8652,59,57,2,adulto
Jammu and Kashmir,458315,245036,213279,275627,107033,168594,182688,138003,44685,16892,9434,7458,6509,4863,1646,29002,19921,9081,42261,33945,8316,50452,40217,10235,9995,7944,2051,92,80,12,456,427,29,26971,21119,5852,58,53,5,adulto
Jammu and Kashmir,340304,199297,141007,217873,101758,116115,122431,97539,24892,13137,8027,5110,5267,4117,1150,21117,15999,5118,26675,22119,4556,32174,27102,5072,6032,5122,910,55,39,16,390,366,24,17528,14593,2935,56,55,1,adulto_mayor
Jammu and Kashmir,254652,125846,128806,177278,66787,110491,77374,59059,18315,10164,5414,4750,4192,3114,1078,14913,10977,3936,15955,12755,3200,18208,15076,3132,3244,2721,523,50,31,19,291,274,17,10333,8673,1660,24,24,0,adulto_mayor
Jammu and Kashmir,243842,137398,106444,185119,90937,94182,58723,46461,12262,10585,6404,4181,4102,3228,874,12770,9858,2912,10884,9064,1820,11770,10319,1451,1821,1600,221,70,41,29,153,146,7,6545,5780,765,23,21,2,adulto_mayor
Jammu and Kashmir,158118,78254,79864,122159,51162,70997,35959,27092,8867,6682,3644,3038,3560,2641,919,8912,6662,2250,6521,5164,1357,6203,5364,839,890,775,115,43,19,24,82,79,3,3049,2728,321,17,16,1,tercera_edad
Jammu and Kashmir,132824,75284,57540,104288,52946,51342,28536,22338,6198,5899,3639,2260,2575,2049,526,7204,5848,1356,5169,4285,884,4687,4075,612,1015,767,248,22,15,7,30,23,7,1926,1630,296,9,7,2,tercera_edad
Jammu and Kashmir,58497,30246,28251,43921,19316,24605,14576,10930,3646,2675,1506,1169,1183,938,245,3427,2720,707,2792,2163,629,2639,2165,474,686,513,173,9,4,5,19,17,2,1142,900,242,4,4,0,tercera_edad
Jammu and Kashmir,82043,44645,37398,66466,32616,33850,15577,12029,3548,3812,2296,1516,2146,1594,552,3741,3094,647,2464,2088,376,2140,1882,258,404,331,73,19,16,3,15,14,1,827,705,122,9,9,0,tercera_edad
Jammu and Kashmir,45715,24836,20879,27896,13461,14435,17819,11375,6444,5497,3356,2141,2668,1516,1152,2420,1475,945,2517,1700,817,2566,1811,755,962,684,278,2,2,0,20,17,3,1163,811,352,4,3,1,desconocido
Himachal Pradesh,793137,418426,374711,793137,418426,374711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,infancia
Himachal Pradesh,117677,61554,56123,19074,9191,9883,98603,52363,46240,430,245,185,98166,52116,46050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,5,ninez
Himachal Pradesh,137680,71958,65722,10432,4652,5780,127248,67306,59942,325,192,133,126913,67110,59803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,6,ninez
Himachal Pradesh,130857,67675,63182,5097,2145,2952,125760,65530,60230,198,112,86,120924,63060,57864,4628,2353,2275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,ninez
Himachal Pradesh,151321,78154,73167,5731,2249,3482,145590,75905,69685,298,168,130,114350,59530,54820,30934,16202,14732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,ninez
Himachal Pradesh,127690,65993,61697,3029,1161,1868,124661,64832,59829,200,120,80,56358,28941,27417,68097,35769,32328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,ninez
Himachal Pradesh,152423,78352,74071,4713,1747,2966,147710,76605,71105,259,146,113,35009,17876,17133,107589,56053,51536,4843,2523,2320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,3,ninez
Himachal Pradesh,134792,67786,67006,3592,1156,2436,131200,66630,64570,216,122,94,13933,6705,7228,94489,48440,46049,22555,11358,11197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,ninez
Himachal Pradesh,138813,70972,67841,4875,1642,3233,133938,69330,64608,317,169,148,8269,4105,4164,68320,35623,32697,57026,29429,27597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,ninez
Himachal Pradesh,131453,66860,64593,5780,2115,3665,125673,64745,60928,357,184,173,5250,2638,2612,40065,20694,19371,64341,33445,30896,15655,7782,7873,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,adolescencia
Himachal Pradesh,129259,65472,63787,6284,2228,4056,122975,63244,59731,475,260,215,4447,2193,2254,26523,13512,13011,51730,27232,24498,39797,20045,19752,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,adolescencia
Himachal Pradesh,114904,59749,55155,5031,1774,3257,109873,57975,51898,406,189,217,3526,1884,1642,17878,9302,8576,32748,17677,15071,55304,28920,26384,0,0,0,0,0,0,0,0,0,0,0,0,11,3,8,adolescencia
Himachal Pradesh,149531,79698,69833,11092,4412,6680,138439,75286,63153,888,467,421,5521,3149,2372,21654,11667,9987,30773,17563,13210,50662,27901,22761,28501,14304,14197,54,16,38,374,213,161,0,0,0,12,6,6,adolescencia
Himachal Pradesh,101477,52539,48938,6956,2312,4644,94521,50227,44294,688,330,358,3695,1969,1726,13600,6946,6654,16341,9008,7333,30854,16874,13980,28799,14789,14010,60,23,37,472,280,192,0,0,0,12,8,4,adolescencia
Himachal Pradesh,583029,295703,287326,58270,17664,40606,524759,278039,246720,5308,2571,2737,22338,12173,10165,85103,42079,43024,80849,41781,39068,153754,83103,70651,127048,70222,56826,665,231,434,4425,3023,1402,45168,22809,22359,101,47,54,juventud
